order_id,customer,region,product,quantity,revenue,cost,order_date
1,Rahul,South,Laptop,2,100000,80000,2026-01-05
2,Priya,North,Chair,5,10000,7000,2026-01-12
3,Amit,South,Mouse,10,5000,3000,2026-02-03
4,Neha,East,Shirt,8,8000,5000,2026-02-15
5,Ravi,West,Table,3,15000,10000,2026-03-08
6,Anu,North,Phone,4,80000,60000,2026-04-10
7,Kiran,South,Jeans,6,9000,5500,2026-04-20
8,Meena,East,Laptop,1,50000,40000,2026-05-05
9,Arjun,West,Shirt,10,10000,6500,2026-05-18
10,Sneha,North,Table,2,10000,7000,2026-06-05
11,Rahul,South,Phone,3,60000,45000,2026-07-08
12,Priya,North,Laptop,2,100000,80000,2026-07-20
13,Amit,East,Chair,4,8000,5500,2026-08-03
14,Neha,West,Jeans,5,7500,4500,2026-08-15
15,Ravi,South,Table,4,20000,13000,2026-09-10
16,Anu,North,Phone,5,100000,75000,2026-10-05
17,Kiran,South,Laptop,1,50000,40000,2026-10-18
18,Meena,East,Shirt,7,7000,4500,2026-11-02
19,Arjun,West,Chair,6,12000,8000,2026-11-15
20,Sneha,North,Table,3,15000,10000,2026-12-05
